NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT02260700,"Janssen Research & Development, LLC","A Study to Evaluate Bioavailability, Food Effect, Safety and Tolerability of a Solid Dosage Formulation of JNJ-54861911 in Healthy Older Male Participants",DRUG: JNJ-54861911 (Treatment A)|DRUG: JNJ-54861911 (Treatment B)|DRUG: JNJ-54861911 (Treatment C),JNJ-54861911 (Treatment A); JNJ-54861911 (Treatment B); JNJ-54861911 (Treatment C),investigational_therapeutic_unverified,multiple unverified investigational candidates found (JNJ-54861911 (Treatment A); JNJ-54861911 (Treatment B); JNJ-54861911 (Treatment C)) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT02196116,"University Hospital, Bordeaux",Amyloïd Load in Elderly Population: Effect of Cognitive Reserve,OTHER: PET|OTHER: MRI|OTHER: neuropsychological tests,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03978052,Parc de Salut Mar,Prevention of Cognitive Decline in ApoE4 Carriers With Subjective Cognitive Decline After EGCG and a Multimodal Intervention,DIETARY_SUPPLEMENT: EGCG|DIETARY_SUPPLEMENT: Placebo EGCG|OTHER: Healthy lifestyle recommendations|OTHER: Multimodal lifestyle intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00931073,Pfizer,A Phase I Study To Estimate The Effect Of Ketoconazole And Omeprazole On The Pharmacokinetics Of Dimebon In Healthy Subjects Who Are Normal Or Poor CYP2D6 Metabolizers,DRUG: Dimebon alone|DRUG: Dimebon + Ketoconazole|DRUG: Dimebon + Omeprazole,Dimebon alone; Dimebon + Ketoconazole; Dimebon + Omeprazole,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Dimebon alone; Dimebon + Ketoconazole; Dimebon + Omeprazole) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00692705,AstraZeneca,"Positron Emission Tomography (PET) Study With [11C]AZD2995 and [11C]AZD2184, Candidate PET Ligands for β Amyloid",DRUG: Radioligand (11C)AZD2995|DRUG: Radioligand (11C)AZD2184,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01230853,Eisai Inc.,"A Randomized, Double-blind, Placebo-controlled, Combined Single Ascending Dose and Multiple Ascending Dose Study",DRUG: Active Comparator: A|DRUG: Placebo Comparator B|DRUG: Active Comparator B|DRUG: Placebo Comparator A,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02576821,Centre Hospitalier St Anne,Hippocampal Sclerosis and Amnesia Not Due to Alzheimer's Disease,OTHER: Neurological examinations|OTHER: Neuropsychological examinations|OTHER: Clinical examinations|RADIATION: MRI 3T|RADIATION: MRI 7T,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07416734,"University of California, San Francisco",RCT of HeartBot in Women,OTHER: HeartBot II Program|OTHER: Waitlist Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03585907,Johns Hopkins University,Feasibility and Efficacy of Dietary Interventions for Older Adults With Subjective Cognitive Decline,DIETARY_SUPPLEMENT: MAD|DIETARY_SUPPLEMENT: MIND,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02079909,"FUJIFILM Toyama Chemical Co., Ltd.",Efficacy and Safety of T-817MA in Patients With Mild to Moderate Alzheimer's Disease (US202),DRUG: T-817MA-H|DRUG: T-817MA-L|DRUG: Placebo,T-817MA-H; T-817MA-L,investigational_therapeutic_unverified,multiple unverified investigational candidates found (T-817MA-H; T-817MA-L) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT03204604,Wake Forest University Health Sciences,The Brain Ketone Body Challenge Imaging Study,DIETARY_SUPPLEMENT: Challenge A - low calorie Ensure®|DIETARY_SUPPLEMENT: Challenge B - Ensure® plus ketone esters (KE)|PROCEDURE: PET Scan|BEHAVIORAL: Cognitive Testing - FCSRT|BEHAVIORAL: Story Recall|BEHAVIORAL: BVRT|BEHAVIORAL: CogState One Card Learning,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02521818,Johns Hopkins University,Dietary Treatments for Cognitive Impairment in Older Adults,OTHER: Modified Atkins Diet|OTHER: NIA Diet for Seniors,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06850870,"Onward Health, Inc",Door-Through-Door Companion Rideshare Technology for Individuals With Alzheimer's Disease and Related Dementias (AD/ADRD),OTHER: Door-through-door companion rideshare|OTHER: Curb-to-curb rideshare services,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04052737,"Pharmazz, Inc.",PMZ-1620 (Sovateltide) in Mild to Moderate Alzheimer's Disease,DRUG: Normal Saline along with standard treatment|DRUG: PMZ-1620 (sovateltide) along with standard treatment,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00768261,Washington University School of Medicine,Corticolimbic Degeneration and Treatment of Dementia,DRUG: Memantine (Namenda®)|DRUG: Donepezil (Aricept®),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03295110,Hospices Civils de Lyon,Connected Solution of Assistance Dedicated to Caregivers and People With Alzheimer's Disease or Related Diseases,OTHER: Functionalities of the Lili Smart Solution activated|OTHER: Functionalities of the Lili Smart Solution non activated,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01211782,Cerecin,AC-1204 Long-term Efficacy Response Trial (ALERT Protocol),DRUG: caprylic triglyceride|DRUG: long-chain triglyceride,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00955409,Pfizer,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL: ACC-001(3µg) + QS21|BIOLOGICAL: ACC-001(10µg) + QS21|BIOLOGICAL: ACC-001(30µg) + QS21,ACC-001(3µg) + QS21; ACC-001(10µg) + QS21; ACC-001(30µg) + QS21,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ACC-001(3µg) + QS21; ACC-001(10µg) + QS21; ACC-001(30µg) + QS21) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06661564,"University Hospital, Tours",Identification of Diagnosis Biomarkers in the Tears of Alzheimer's Disease Patients: The COG-EYE Pilot Study,"OTHER: Basal tear collection for the analysis of metabo-lipidomic profiles and concentrations of protein biomarkers (Tau, phosphorylated Tau, Aβ 1-40, and Aβ 1-42)|OTHER: Collection of a blood sample (5 mL) for blood biomarkers analysis",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06275243,Universidad de León,Polymorphism of ApoE in Alzheimer's Disease: Genetic Study in Castile and Leon (Spain),DIAGNOSTIC_TEST: Kit Buccal swab collection & stabilization de Canvax®|OTHER: Cholesterol levels according to ApoE Genotype|OTHER: Assessing cardiovascular risk factors in all participants,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05336175,University of Arizona,Biomarker Study: Heart Failure Patients at Risk,DRUG: Angiotensin 1-7|DRUG: Saline solution,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06804837,Washington University School of Medicine,Implement and Test Visual Consent Template and Process,OTHER: Visual consent|OTHER: Standard consent,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
