NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT00056225,National Institute on Aging (NIA),VITAL - VITamins to Slow ALzheimer's Disease (Homocysteine Study),DRUG: Folate|DRUG: Vitamin B6|DRUG: Vitamin B12,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01608217,Radboud University Medical Center,Delta-THC in Dementia,DRUG: delta-9-tetrahydrocannabinol (delta-THC)|DRUG: Placebo|DRUG: Acetaminophen|DRUG: Acetaminophen,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04794634,"Centre Hospitalier Universitaire, Amiens",Relationship Between Alzheimer Disease and Diminution of the Three Macular Nervous Retinal Layers,DIAGNOSTIC_TEST: Optical coherence tomography (OCT)|DIAGNOSTIC_TEST: Optical coherence tomograpohy angiography (OCTA),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01696019,University of South Florida,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,OTHER: Fast walking|OTHER: Tai Chi|OTHER: Intellectual stimulation|OTHER: Contact and testing only,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05336695,Massachusetts General Hospital,Assess Fibrin in Brains With AD/ADRD,DIAGNOSTIC_TEST: PET/MR Imaging|DRUG: 64Cu-FBP8,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06116084,"Central Hospital, Nancy, France",Randomized Controlled Study Evaluating the Efficacy of Hypnosis in Nuclear Medicine,OTHER: Ericksonian Hypnosis|OTHER: Hypnosis,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04623242,Washington University School of Medicine,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation.,DRUG: Gantenerumab|DRUG: Solanezumab|DRUG: Matching Placebo (Gantenerumab)|DRUG: Matching Placebo (Solanezumab),Gantenerumab; Solanezumab,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Gantenerumab; Solanezumab) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT04396873,National Institute of Mental Health (NIMH),PET Imaging of Cyclooxygenases in Neurodegenerative Brain Disease,DRUG: 11C-MC1|DRUG: 11C-PS13|DRUG: 18f-florbetaben,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00726726,Bristol-Myers Squibb,Drug Interaction Study With a Potential Alzheimer's Disease Compound,"DRUG: Interacting drugs - Cooperstown Cocktail (midazolam, warfarin, (+ vitamin K), caffeine, omeprazole and dextromethorphan)|DRUG: BMS-708163|DRUG: BMS-708163 + Cooperstown Cocktail",BMS-708163; BMS-708163 + Cooperstown Cocktail,investigational_therapeutic_unverified,multiple unverified investigational candidates found (BMS-708163; BMS-708163 + Cooperstown Cocktail) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00117403,National Institute on Aging (NIA),Anti-Oxidant Treatment of Alzheimer's Disease,"DRUG: Vitamin E, Vitamin C, and Alpha-lipoic Acid|DRUG: Coenzyme Q|DRUG: Placebo capsules|DRUG: Placebo wafers",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04440020,Aristotle University Of Thessaloniki,Management of Dementia With Olive Oil Leaves - GOLDEN,OTHER: Beverage of Olive Oil Leaves|OTHER: Mediterranean Diet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01453569,"Shanghai Greenvalley Pharmaceutical Co., Ltd.","Safety, Efficacy and Dose Titration of Sodium Oligo-mannurarate Capsule on Mild to Moderate Alzheimer's Disease",DRUG: Sodium oligo-mannurarate 600mg|DRUG: Sodium oligo-mannurarate 900mg|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04983368,Actinogen Medical,"A Double-Blind, Placebo-Controlled, Dose Ranging Study of Xanamem® in Healthy Elderly Volunteers",DRUG: Xanamem® 5 mg|DRUG: Placebo|DRUG: Xanamem® 10 mg,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05973448,"University of North Carolina, Chapel Hill",The Nightlight Falls Prevention Study,OTHER: Novel Lighting Condition|OTHER: Control Lighting Condition,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04570215,"University College, London",Digital Interventions in Neuro-Rehabilitation: Gotcha!,OTHER: Gotcha! Therapy application|OTHER: Gotcha Therapy application: Maintenance,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05145881,Hsieh-Hsun Ho,Effect of Probiotics in Alzheimer's Disease,DIETARY_SUPPLEMENT: Low dose probiotics|DIETARY_SUPPLEMENT: Normal dose probiotics,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07284472,Exciva GmbH,Safety and Efficacy of EXV-802 and EXV-801 in the Treatment of Agitation in Alzheimer's Disease Dementia,DRUG: EXV-802|DRUG: Placebo|DRUG: EXV-801,EXV-802; EXV-801,investigational_therapeutic_unverified,multiple unverified investigational candidates found (EXV-802; EXV-801) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT02353598,"Genentech, Inc.",A Study of Crenezumab in Participants With Mild to Moderate Alzheimer Disease,DRUG: Crenezumab dose level 1|DRUG: Crenezumab dose level 2|DRUG: Crenezumb dose level 3|DRUG: Placebo,Crenezumab dose level 1; Crenezumab dose level 2,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Crenezumab dose level 1; Crenezumab dose level 2) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07367815,"University Hospital, Toulouse",Allogeneic Adipose Tissue Derived-stem Cells in Alzheimer Disease,DRUG: CellREADY® drug product IV dose of 50 millions|DRUG: CellREADY® drug product IV dose of 100 millions|DIAGNOSTIC_TEST: cerebral RMI|DIAGNOSTIC_TEST: PET scan,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06662578,"Cooperativa de Ensino Superior, Politécnico e Universitário",Using Equine Therapy in Dementia Cognitive Stimulation,OTHER: Traditional memory workshop|OTHER: Equine assisted therapy memory workshops,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02565511,Novartis Pharmaceuticals,A Study of CAD106 and CNP520 Versus Placebo in Participants at Risk for the Onset of Clinical Symptoms of Alzheimer's Disease,BIOLOGICAL: CAD106 Immunotherapy|OTHER: Placebo to CAD106|DRUG: CNP520|OTHER: Placebo to CNP520|OTHER: Alum,CAD106 Immunotherapy; CNP520,investigational_therapeutic_unverified,multiple unverified investigational candidates found (CAD106 Immunotherapy; CNP520) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06489548,Brigham and Women's Hospital,Assessment of Foralumab Safety and Modulation of Microglial Activation in Alzheimer's Disease,DRUG: Foralumab TZLS-401 50 µg|DRUG: Foralumab TZLS-401 100 µg,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01145482,University of Texas at Austin,Mechanisms of Insulin Facilitation of Memory,DRUG: Insulin|OTHER: Saline,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07021040,Duke University,Olfactory Biopsies,DIAGNOSTIC_TEST: olfactory testing|OTHER: Odor stimulation|PROCEDURE: Olfactory biopsy,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05691842,University of Valencia,Effectiveness of a High-intensity Interval Exercise Program in People With Alzheimer's,OTHER: HIIT intervention|OTHER: Dual task intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07544953,Yonsei University,Amyloid Monoclonal Antibody Treatment in PD Patients With Coexistent AD Pathology,DRUG: Lecanemab|OTHER: Lecanemab non-administration group,Lecanemab; Lecanemab non-administration group,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Lecanemab; Lecanemab non-administration group) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT03784300,Pain Therapeutics,A Safety Study of PTI-125 in Healthy Volunteers,DRUG: 50 mg PTI-125|DRUG: 100 mg PTI-125|DRUG: 200 mg PTI-125,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03702465,Imperial College London,Assessment of the Impact of a Personalised Nutrition Intervention in Impaired Glucose Regulation,OTHER: DNA-based dietary intervention|OTHER: DNA-based dietary intervention using an app|OTHER: Control arm,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07011745,Bristol-Myers Squibb,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease,DRUG: Xanomeline/Trospium Chloride Capsule|DRUG: Xanomeline Enteric Capsule|DRUG: Placebo,Xanomeline/Trospium Chloride; Xanomeline Enteric,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Xanomeline/Trospium Chloride; Xanomeline Enteric) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07064226,Fondazione Don Carlo Gnocchi ETS,Validation of a Digital Intervention to Rehabilitate Cognitive Resources,OTHER: RICORDO|OTHER: Treatment as Usual (TAU),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00621647,AstraZeneca,Seroquel- Agitation Associated With Dementia,DRUG: Quetiapine Fumarate|DRUG: Quetiapine Fumarate|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04044131,Istanbul Medipol University Hospital,Metabolic Cofactor Supplementation in Alzheimer's Disease (AD) and Parkinson's Disease (PD) Patients,DRUG: Metabolic Cofactor Supplementation|DRUG: Sorbitol,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06784830,Sichuan Provincial People's Hospital,Nursing Interventions for Alzheimer's Patients During PET/CT Imaging,OTHER: Effects on Image Quality and Patient Satisfaction|OTHER: Anxiety degree of patients after nursing,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06996730,Banner Health,"A Study of Donanemab, RG6289, or the Combination of Donanemab and RG6289 in Presenilin 1 (PSEN1) E280A Mutation Carriers for the Treatment of Autosomal-Dominant Alzheimer's Disease",DRUG: Donanemab|DRUG: RG6289|DRUG: Donanemab placebo|DRUG: RG6289 placebo,Donanemab; RG6289,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Donanemab; RG6289) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT01924858,GlaxoSmithKline,A Positron Emission Tomography (PET) Study to Investigate the Brain Biodistribution of 18F GSK2647544 in Healthy Subjects to Determine Its Ability to Cross the Blood-brain-barrier.,DRUG: GSK2647544 oral|DRUG: [18F]GSK2647544 IV bolus,GSK2647544; [18F]GSK2647544 IV bolus,investigational_therapeutic_unverified,multiple unverified investigational candidates found (GSK2647544; [18F]GSK2647544 IV bolus) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT05532358,MODAG GmbH,A Drug-Drug Interaction Study to Assess the CYP1A2 and CYP3A4 Interaction Potential of TEV-56286 (anle138b),DRUG: anle138b (TEV-56286)|DRUG: Fluvoxamine 100 mg QD for 5 days,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02746484,Fondazione Don Carlo Gnocchi ETS,ABILITY - TelerehABILITation: TechnologY-enhanced Multi-domain at Home Continuum of Care Program,OTHER: Ability platform program|OTHER: Usual care program,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02612805,Hospital de Clinicas de Porto Alegre,The Diabetes and Aquatic Training Study (DATS),OTHER: Aerobic training|OTHER: Combined training|OTHER: Training placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00860275,Bristol-Myers Squibb,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole,DRUG: BMS-708163|DRUG: BMS-708163 + Ketoconazole|DRUG: Ketoconazole|DRUG: Fluconazole|DRUG: BMS-708163 + Fluconazole,BMS-708163; BMS-708163 + Ketoconazole; BMS-708163 + Fluconazole,investigational_therapeutic_unverified,multiple unverified investigational candidates found (BMS-708163; BMS-708163 + Ketoconazole; BMS-708163 + Fluconazole) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT05068830,Norwegian University of Science and Technology,Safety and Efficacy of Plasma Transfusion From Exercise-trained Donors in Patients With Early Alzheimer's Disease,DRUG: ExPlas|DRUG: Octaplasma|DRUG: Saline,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04270175,Weill Medical College of Cornell University,"Daratumumab, Pomalidomide, and Dexamethasone (DPd) in Relapsed/Refractory Light Chain Amyloidosis Patients Previously Exposed to Daratumumab",DRUG: Daratumumab SC|DRUG: Pomalidomide|DRUG: Dexamethasone,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00375557,University of Cincinnati,Safety and Efficacy of Divalproex and Quetiapine in Elderly Alzheimer's Dementia Patients,DRUG: Divalproex ER|DRUG: Quetiapine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06223360,Alzheimer's Disease Cooperative Study (ADCS),A Trial to Evaluate the Safety and Efficacy of Benfotiamine in Patients With Early Alzheimer's Disease (BenfoTeam),DRUG: Low Dose Benfotiamine|DRUG: High Dose Benfotiamine|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02547818,"AZTherapies, Inc.",Safety and Efficacy Study of ALZT-OP1 in Subjects With Evidence of Early Alzheimer's Disease,DRUG: ALZT-OP1a|DRUG: ALZT-OP1b|OTHER: Placebo ALZT-OP1a|OTHER: Placebo ALZT-OP1b,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06105320,Karolinska University Hospital,COGNIFOOD-Changing the Carbohydrate/Fat-ratio to Prevent Cognitive Decline and Alzheimer Pathology: A Pilot Study,OTHER: LCHF|OTHER: HCLF,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01700556,Istituto Nazionale di Ricovero e Cura per Anziani,A Trial to Support Caregivers of Patients With Dementia in Italy: the UP-TECH Project,OTHER: Case Manager|OTHER: Assistive Technologies|OTHER: light support|OTHER: 3 preventive home visits by a nurse,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02442778,"Otsuka Pharmaceutical Development & Commercialization, Inc.","Efficacy, Safety, and Tolerability of AVP-786 for the Treatment of Agitation in Participants With Dementia of the Alzheimer's Type",DRUG: AVP-786-18|DRUG: Placebo|DRUG: AVP-786-28|DRUG: AVP-786-42.63,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06717971,Aoyu Li,Utilization of Exergame Programs Among Elderly Residents in Rural Nursing Care Centers,OTHER: Exergame-based multicomponent training program.|OTHER: Standard care,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00692510,AstraZeneca,Drug Interaction Study Between AZD3480 and Cytochrome P450,"DRUG: AZD3480|DRUG: Placebo|DRUG: Cocktail mix (Caffeine, Bupropion, Rosiglitazone, Omeprazole, Midazolam, Bilirubin)","AZD3480; Cocktail mix (Caffeine, Bupropion, Rosiglitazone, Omeprazole, Midazolam, Bilirubin)",investigational_therapeutic_unverified,"multiple unverified investigational candidates found (AZD3480; Cocktail mix (Caffeine, Bupropion, Rosiglitazone, Omeprazole, Midazolam, Bilirubin)) — could not resolve to a single drug",low,multiple_candidates_unresolved,True
NCT03939286,RWTH Aachen University,Multimodal Imaging Study on Physical Activity in Patients With Alzheimer's Disease,OTHER: Clinical-neurological and neuropsychological tests|DIAGNOSTIC_TEST: Blood sampling|OTHER: Assessment of physical activity via fitness tracker/diary|OTHER: MRI-examinations,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05629871,"University Hospital, Montpellier",Biomarkers of Sleep-wake Cycle in Prodromal Alzheimer's Disease: Role in Cognitive Decline?,PROCEDURE: Polysomnography|BEHAVIORAL: Neuropsychological assessment|BEHAVIORAL: Questionnaires on sleep and behavioural problems|PROCEDURE: Actimetry|DIAGNOSTIC_TEST: Fractional diuresis|PROCEDURE: Internal temperature measurement|OTHER: Biomarker assay,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02793232,Pfizer,"Clinical Trial In Healthy Volunteers And Health Elderly Volunteers To Evaluate The Safety, Tolerability And Blood Concentration After Single And Multiple Escalating Oral Doses Of PF-06751979.",DRUG: PF-06751979 single dose|DRUG: Placebo single dose|DRUG: PF-06751979 multiple ascending dose|DRUG: Placebo multiple ascending dose|DRUG: PF-06751979 multiple dose|DRUG: Placebo multiple elderly dose,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03441516,Yuhan Corporation,Effect of Choline Alphoscerate on Cognitive Function in Alzheimer's Dementia,DRUG: Alfoatirin® Tab. + Aripezil® Tab.|DRUG: Aripezil® Tab.,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01638949,"University Hospital, Caen",Multi-modal Neuroimaging in Alzheimer's Disease IMAP+,BEHAVIORAL: Memory assessment|BIOLOGICAL: Circulating biomarkers measure|GENETIC: ApoE4|OTHER: Brain imaging examination MRI and PET examinations,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02843906,"University Hospital, Grenoble","Cognitive, Morphological and Neurobiological Progressive Aspects in Bipolar Disorders in the Elderly: Toward to a Neurodegenerescence Detection?",PROCEDURE: Lombar Punction|RADIATION: Magnetic Resonance Imaging (MRI)|RADIATION: Positron-Emission Tomography (TEP) /(FDG)|OTHER: Psychiatric tests|OTHER: Neuropsychological Tests|GENETIC: Apolipoprotein (ApoE) detection,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00867828,NeuroBioPharm Inc.,Neptune Krill Oil (NKO™) in Early Stage Alzheimer's Disease (MNEMOSYNE),DIETARY_SUPPLEMENT: Neptune Krill Oil|DIETARY_SUPPLEMENT: Fish Oil|DIETARY_SUPPLEMENT: Placebo (soy oil),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01524887,Baxalta now part of Shire,"Phase 3 IGIV, 10% in Alzheimer´s Disease","BIOLOGICAL: Immune Globulin Intravenous (Human), 10% Solution|BIOLOGICAL: Human albumin 0.25%",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07364019,University of British Columbia,The Brain Health PRO Online Risk Factor Reduction Study to Prevent Dementia,OTHER: Brain Health PRO|OTHER: Brain Health PRO,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01561053,"Instituto Grifols, S.A.",A Study to Evaluate Albumin and Immunoglobulin in Alzheimer's Disease,BIOLOGICAL: Albumin 5%|BIOLOGICAL: Albumin 20%|BIOLOGICAL: Immunoglobulin,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06244043,"University of Wisconsin, Madison",Human and Digital Support Study,OTHER: Initial Coaching Call|OTHER: Email Support|OTHER: Text Messages,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00479557,Pfizer,"Study Evaluating Safety, Tolerability, And Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL: ACC-001 + QS-21|BIOLOGICAL: ACC-001|BIOLOGICAL: QS-21|DRUG: Placebo: Phosphate buffered saline,ACC-001 + QS-21; ACC-001; QS-21,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ACC-001 + QS-21; ACC-001; QS-21) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT03197740,Icure Pharmaceutical Inc.,"A Multinational, Multi-center, Randomized, Double-blind, Active Comparator, Phase III Clinical Trial to Evaluate the Efficacy and Safety of Donepezil Transdermal Patch in Patients With Alzheimer's Disease",DRUG: Donepezil patch|DRUG: aricept Tab,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06957418,Paul S. Aisen,Alzheimer's Tau Platform: Master Protocol,DRUG: AADvac1|DRUG: Tau2,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05578443,Fujian Medical University Union Hospital,"Efficacy, Safety and Response Predictors of Astragalus Membranaceus on the Improvement of Cognitive Function in Mild-to-Moderate Alzheimer's Disease",DRUG: 10g Astragalus|BEHAVIORAL: Routine treatment|DRUG: 20g Astragalus,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00548145,Osaka University,The Clinical Study of Pitavastatin Treatment for Group of Mild to Moderate Alzheimer's Disease,"DRUG: Pitavastatin|DRUG: cholesterol-lowering medicine other than statin(e.g.,Ezetimibe,Colestimide)",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01117181,Johns Hopkins Bloomberg School of Public Health,Apathy in Dementia Methylphenidate Trial (ADMET),DRUG: Methylphenidate|DRUG: placebo|OTHER: Psychosocial intervention,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04044495,"University Hospital, Bordeaux","Sleep, Rhythms and Risk of Alzheimer's Disease",OTHER: Multimodal brain imaging (MRI)|OTHER: Actimetry|OTHER: Sleep Diary,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00959192,Pfizer,"Safety, Tolerability, And Immunogenicity Study Of ACC-001 In Japanese Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL: ACC-001|OTHER: QS-21|OTHER: QS-21,ACC-001; QS-21,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ACC-001; QS-21) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00177671,University of Pittsburgh,Antidepressant Medication Plus Donepezil for Treating Late-life Depression,DRUG: Escitalopram|DRUG: Donepezil|DRUG: Venlafaxine|DRUG: Placebo|DRUG: Duloxetine,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07062198,ScandiBio Therapeutics AB,Combined Metabolic Activator Supplementation in Subjects Diagnosed With Alzheimer's Disease,DRUG: Combined metabolic activators|OTHER: Collagen and maltodextrin,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01066481,Pfizer,A Study Of Oral PF-01913539 In Patients With Mild To Moderate Alzheimer's Disease,DRUG: PF-01913539 5 mg|DRUG: PF-01913539 5 mg|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01903421,"University Health Network, Toronto",Inhalational Anesthesia and Precipitation of Dementia: is There a Link?,"DRUG: Spinal anesthesia group: bupivacaine 10-15mg|DRUG: General anesthesia group: induction propofol 1.5-2mg/kg and fentanyl 1-3g/kg, maintained with isoflurane or sevoflurane|GENETIC: Blood test|OTHER: Lumbar spinal tap|BEHAVIORAL: Montreal Cognitive Assessment (MOCA) and MMSE",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03342326,Centre Hospitalier Universitaire de Saint Etienne,Lexical Priming by Music in Alzheimer's Disease and Healthy Aging,OTHER: Exposure to familiar songs|OTHER: Music Experience Questionnaire|OTHER: Implicit tasks memory|OTHER: Questionnaires,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04841135,"University Hospital, Montpellier",Blood Microbiota Signature of Alzheimer's Disease,OTHER: Multiomics quantification|OTHER: Polysomnography,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03865017,VTBIO Co. LTD,A Safety and Tolerability Study of GB301,BIOLOGICAL: Regulatory T cells|OTHER: Saline,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05980572,Chang Gung Memorial Hospital,Effects of App-assisted Home Exercise Program in Patients With Frozen Shoulder,DRUG: Glenohumeral joint and subacromial space triamcinolone injections|DEVICE: App-assisted exercise|DRUG: Nonsteroidal anti-inflammatory drugs (aceclofenac),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
